Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4308,4308,ACVR1-PROT,Gene-PROT
1,4309,4309,ACVR1B-PROT,Gene-PROT
2,4310,4310,ACVR1C-PROT,Gene-PROT
3,4311,4311,ACVR2A-PROT,Gene-PROT
4,4312,4312,ACVR2B-PROT,Gene-PROT
5,4353,4353,AKT1-PROT,Gene-PROT
6,4355,4355,AKT2-PROT,Gene-PROT
7,4356,4356,AKT3-PROT,Gene-PROT
8,4371,4371,APC-PROT,Gene-PROT
9,4372,4372,APC2-PROT,Gene-PROT
10,4437,4437,AXIN1-PROT,Gene-PROT
11,4438,4438,AXIN2-PROT,Gene-PROT
12,4465,4465,BMP4-PROT,Gene-PROT
13,4471,4471,BMPR1A-PROT,Gene-PROT
14,4472,4472,BMPR1B-PROT,Gene-PROT
15,4473,4473,BMPR2-PROT,Gene-PROT
16,4737,4737,CTNNB1-PROT,Gene-PROT
17,4835,4835,DUSP9-PROT,Gene-PROT
18,4836,4836,DVL1-PROT,Gene-PROT
19,4837,4837,DVL2-PROT,Gene-PROT
20,4838,4838,DVL3-PROT,Gene-PROT
21,4898,4898,ESRRB-PROT,Gene-PROT
22,4935,4935,FGF2-PROT,Gene-PROT
23,4947,4947,FGFR1-PROT,Gene-PROT
24,4948,4948,FGFR2-PROT,Gene-PROT
25,4949,4949,FGFR3-PROT,Gene-PROT
26,4950,4950,FGFR4-PROT,Gene-PROT
27,4987,4987,FZD1-PROT,Gene-PROT
28,4988,4988,FZD10-PROT,Gene-PROT
29,4989,4989,FZD2-PROT,Gene-PROT
30,4990,4990,FZD3-PROT,Gene-PROT
31,4991,4991,FZD4-PROT,Gene-PROT
32,4992,4992,FZD5-PROT,Gene-PROT
33,4993,4993,FZD6-PROT,Gene-PROT
34,4994,4994,FZD7-PROT,Gene-PROT
35,4995,4995,FZD8-PROT,Gene-PROT
36,4996,4996,FZD9-PROT,Gene-PROT
37,5074,5074,GRB2-PROT,Gene-PROT
38,5106,5106,GSK3B-PROT,Gene-PROT
39,5151,5151,HRAS-PROT,Gene-PROT
40,5180,5180,ID1-PROT,Gene-PROT
41,5181,5181,ID2-PROT,Gene-PROT
42,5182,5182,ID3-PROT,Gene-PROT
43,5183,5183,ID4-PROT,Gene-PROT
44,5212,5212,IGF1-PROT,Gene-PROT
45,5213,5213,IGF1R-PROT,Gene-PROT
46,5274,5274,IL6ST-PROT,Gene-PROT
47,5280,5280,INHBA-PROT,Gene-PROT
48,5281,5281,INHBB-PROT,Gene-PROT
49,5282,5282,INHBC-PROT,Gene-PROT
50,5283,5283,INHBE-PROT,Gene-PROT
51,5340,5340,JAK1-PROT,Gene-PROT
52,5341,5341,JAK2-PROT,Gene-PROT
53,5342,5342,JAK3-PROT,Gene-PROT
54,5371,5371,KLF4-PROT,Gene-PROT
55,5373,5373,KRAS-PROT,Gene-PROT
